"CloseDate","ClosePrice","Ret1D","Var","VarL1","VarL2","VarL3","VarL4","VarL5"
2016-10-07,1.1172,0.000179035001820968,3.2053531877034e-08,1.21481104575685e-05,2.33211644734618e-05,2.78274165980293e-05,4.57059498196304e-06,3.16781077652456e-08
2016-10-10,1.1151,-0.00188146809970553,3.53992221020955e-06,3.2053531877034e-08,1.21481104575685e-05,2.33211644734618e-05,2.78274165980293e-05,4.57059498196304e-06
2016-10-11,1.1071,-0.00720010310589504,5.18414847355194e-05,3.53992221020955e-06,3.2053531877034e-08,1.21481104575685e-05,2.33211644734618e-05,2.78274165980293e-05
2016-10-12,1.1009,-0.00561595678906364,3.153897065663e-05,5.18414847355194e-05,3.53992221020955e-06,3.2053531877034e-08,1.21481104575685e-05,2.33211644734618e-05
2016-10-13,1.1041,0.00290249636873394,8.42448517051369e-06,3.153897065663e-05,5.18414847355194e-05,3.53992221020955e-06,3.2053531877034e-08,1.21481104575685e-05
2016-10-14,1.0993,-0.00435690986027334,1.89826635305471e-05,8.42448517051369e-06,3.153897065663e-05,5.18414847355194e-05,3.53992221020955e-06,3.2053531877034e-08
2016-10-17,1.0996,0.000272863706272525,7.44546022007787e-08,1.89826635305471e-05,8.42448517051369e-06,3.153897065663e-05,5.18414847355194e-05,3.53992221020955e-06
2016-10-18,1.0985,-0.00100086446642564,1.00172968015348e-06,7.44546022007787e-08,1.89826635305471e-05,8.42448517051369e-06,3.153897065663e-05,5.18414847355194e-05
2016-10-19,1.0961,-0.00218718760298715,4.78378961066069e-06,1.00172968015348e-06,7.44546022007787e-08,1.89826635305471e-05,8.42448517051369e-06,3.153897065663e-05
2016-10-20,1.093,-0.00283221604513924,8.02144772634415e-06,4.78378961066069e-06,1.00172968015348e-06,7.44546022007787e-08,1.89826635305471e-05,8.42448517051369e-06
2016-10-21,1.0867,-0.00578062810773262,3.34156613199085e-05,8.02144772634415e-06,4.78378961066069e-06,1.00172968015348e-06,7.44546022007787e-08,1.89826635305471e-05
2016-10-24,1.0883,0.0014712646332101,2.16461962093484e-06,3.34156613199085e-05,8.02144772634415e-06,4.78378961066069e-06,1.00172968015348e-06,7.44546022007787e-08
2016-10-25,1.089,0.000642998230944436,4.13446724997674e-07,2.16461962093484e-06,3.34156613199085e-05,8.02144772634415e-06,4.78378961066069e-06,1.00172968015348e-06
